Name_English,Name_Wylie_Tibetan,Name_Tibetan,Name_Chinese,Dates,Position_Date,Img_Subtext,Description_English,Description_Tibetan,Description_Chinese,Transmission_Mode,Lineage,Taught,Taught_Familial_Related,Reincarnated_As,Family_Relationship,Emanated as,Links_Names,Links_URLs,Notes
Karmapa Rangjung Dorjé,rang 'byung rdo rje,རང་འབྱུང་རྡོ་རྗེ།,,1284-1339,1300,,"Third Karmapa, head of Karma Kagyü school. Born in Tsa Pugang Zhurmo. Student of Rigzin Kumararājā for Heart Essence of Vimalamitra. Received Padmasambhavas from either Tulku Lekden or Lotön Dorje Bum. Transmitted teachings to Longchenpa and Gyalwa Yungtön Dorjé Pel.",,,Aural,Padmasambhava,Gyalwa Yungtön Dorjé,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Third-Karmapa-Rangjung-Dorje/9201,
Gyalwa Yungtön Dorjé,rgyal ba g.yung ston rdo rje dpal,རྒྱལ་བ་གཡུང་སྟོན་རྡོ་རྗེ་དཔལ།,,1284-1365,1325,,Born into Len clan in Tsongdu. Studied with many teachers including Butön Rinchen Drub and Third Karmapa. Received Mahāmudrā teachings and Padmasambhava transmission from Karmapa. Author of early transmission history of Padmasambhava.,,,Aural,Padmasambhava,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Yungton-Dorje-Pel/2740,
Meban Rinchen Lingpa,me ban rin chen gling pa,མེ་བན་རིན་ཆེན་གླིང་པ།,,1289-1368,1300,,"Born in Tsedrong in Loro Karpo. Treasure revealer who gave Pema Ledreltsel the prophetic guide leading to Padmasambhava. After Pema Ledreltsel revealed the Treasure, received transmission from Gyalse Legpa. Likely the main teacher of Rigzin Gödemchen. See Arguillere's research (2024). ",,,Aural,All Lineages,Rigzin Gödem;Jadralwa Zöpa,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Meban-Rinchen-Lingpa/3417,
Pema Ledreltsel/Tsultrim Dorjé,pad+ma las 'brel rtsal,པདྨ་ལས་འབྲེལ་རྩལ།,,1291-1315/1319,1291,,"Reincarnation of Princess Pema Sel, reborn in Dritang. At age 23 in 1313, revealed Treasures of Padmasambhava from Danglung Tramo boulder in Dagspo. Met with inauspicious circumstances and died young.",,,Aural,Padmasambhava,Tulku Legden/Gyalse Legpa,,Longchen Rabjampa,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Pema-Ledrel-Tsel/10301,
Tulku Legden/Gyalse Legpa,prul sku legs ldan or rgyal sras legs pa,རྒྱལ་སྲས་ལེགས་པ།,,1290-1366,1325,,"Primary disciple of Tsultrim Dorjé/Pema Ledreltsel. Born with prophesied mole on right thigh. After receiving Heart Essence transmission, practiced diligently for twelve years. Transmitted teachings to Rinchen Lingpa, Jadralwa Zöpa, and Karmapa Rangjung Dorjé.",,,Aural,Padmasambhava,Longchen Rabjampa;Karmapa Rangjung Dorjé;Meban Rinchen Lingpa;Jadralwa Zöpa,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/-Gyelse-Lekpa/P7625,
Rigzin Gödem,rig 'dzin rgod ldem,རིག་འཛིན་རྒོད་ལྡེམ།,,1337-1409,1350,,Born in Nyenyul. In 1366 unearthed first of Northern Treasures in form of seven paper scrolls and four volumes of Samantabhadra's Unimpeded Realization. His Treasure includes 40-60% of original core of Padmasambhava. Credited with unearthing keys to hidden lands.,,,Aural,All lineages,Kunpang Donyod Gyaltsen;Namgyal Gönpo,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Rigdzin-Godemchen/TBRC_P5254,
Kunpang Donyod Gyaltsen,kun spangs pa don yod rgyal mtshan,ཀུན་སྤངས་པ་དོན་ཡོད་རྒྱལ་མཚན།,,14th to 15th centuries,1400,,"Student of Rigzin Gödem, recipient of Unimpeded Treasure",,,,Unimpeded Treasure,,,,,,,,
Namgyal Gönpo,rnam rgyal mgon po,རྣམ་རྒྱལ་མགོན་པོ།,,1399-1424,1400,,"Namgyel Gonpo was born in Ngamring (ngam ring) in the province of Lato Jang (la stod byang) in the earth-rabbit year, 1399. He was the son of Rigdzin Gödemchen (rig 'dzin rgod ldem chen, 1337-1409), the founding revelator of the Northern Treasure Tradition (byang gter). He received the empowerments and guidance instructions for the primary treasure cycle of the Northern Treasure Tradition—tThe Unimpeded Realization of Samantabhadra (kun tu bzang po'i dgongs pa zang thal)—directly from his father at the age of six. ",,,,,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Namgyel-Gonpo/1639 ,
Sonam Zangpo,bsod nams bzang po,བསོད་ནམས་བཟང་པོ།,,1341-1433,1405,,,,,,,,,,,,,,
Sangyé Won,sangs rgyas dbon,སངས་རྒྱས་དབོན།,,14th to 15th centuries,1405,,,,,,,,,,,,,,
Jadralwa Zöpa,bya bral ba bzod pa,བྱ་བྲལ་བ་བཟོད་པ།,,14th to 15th centuries,1400,,"Born in place called Gong. Author of main transmission histories of Padmasambhava. Received transmissions from Longchenpa, Rinchen Lingpa, and three separate transmissions from Tulku Legden.",,,Aural,All lineages,,,,,,,,
Chungtrul Pema Wangchen,khyung sprul pad+ma dbang chen,ཁྱུང་སྤྲུལ་པདྨ་དབང་ཆེན།,,1855-1920,1890,,Student of Jamgön Kongtrul,,,Aural,All lineages,,,,,,,,
Tokden Śākya Śrī,rtogs ldan shAkya shrI,རྟོགས་ལྡན་ཤཱཀྱ་ཤྲཱི།,,1853-1919,1853,,,,,Aural,All lineages,Lopön Rinpoche Lama Sönam Zangpo,Ritrul Rigdzin Chögyal a.k.a. Drubwang Adzin Rinpoche;Namkha Drimed Rinpoche,,,,,,
Lopön Rinpoche Lama Sönam Zangpo,slob dpon rin po che bsod nams bzang po,བསོད་ནམས་བཟང་པོ།,,1888-1982,1920,,,,,Aural,All lineages,,,,,,,,
Ritrul Rigdzin Chögyal a.k.a. Drubwang Adzin Rinpoche,ri sprul ring 'dzin chos rgyal a.k.a. Grub dbang a 'dzin rin po che),རི་སྤྲུལ་རིང་འཛིན་ཆོས་རྒྱལ། གྲུབ་དབང་ཨ་འཛིན་རིན་པོ་ཆེ།,,1933-1997,1933,,,,,Aural,All lineages,Namkha Drimed Rinpoche,,,,,,,
Namkha Drimed Rinpoche,nam mkha' dri med rin po che,ནམ་མཁའ་དྲི་མེད་རིན་པོ་ཆེ།,,b. 1938,1938,,,,,Aural,All lineages,,,,,,,,
Mipam Jamyang Namgyal Gyatso,mi pham 'jam mgon rnam rgyal rgya mtsho,མི་ཕམ་འཇམ་མགོན་རྣམ་རྒྱལ་རྒྱ་མཚོ།,,1846-1912,1846,,,,,Aural,All lineages,Khenchen Jampal Dewai Nyima;4th Zhechen Gyaltsap Gyurmé Pema Namgyal;3rd Katok Situ Kunchen Orgyen Chökyi Dorjé,,,,,,,
Khenchen Jampal Dewai Nyima,mkhan chen jam dpal bde ba'i nyi ma,མཁན་ཆེན་འཇམ་དཔལ་བདེ་བའི་ཉི་མ།,,20th century,1950,,,,,Aural,All lineages,,,,,,,,
4th Zhechen Gyaltsap Gyurmé Pema Namgyal,zhe chen rgyal tshab 'gyur med padma rnam rgyal,ཞེ་ཆེན་རྒྱལ་ཚབ་འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ།,,1871-1926,1871,,"Fourth Zhechen Gyaltsap, student of Jamyang Khyentse Wangpo, Mipham Rinpoche, and Jamgön Kongtrul",,,Aural,All lineages,Dilgo Khyentsé Rinpoche Rabsel Dawa,,,,,,,
Gyakob Tulku Kunzang,rgya khob sprul sku kun bzang,རྒྱ་ཁོབ་སྤྲུལ་སྐུ་ཀུན་བཟང།,,late 19th-early 20th centuries,1900,,,,,Aural,All lineages,,,,,,,,
Dza Pukhung Gyurmé Ngedön Wangpo,rdza phu khung 'gyur med nges don dbang po,རྫ་ཕུ་ཁུང་འགྱུར་མེད་ངེས་དོན་དབང་པོ།,,1820-1892,1820,,Student of Jamyang Khyentse Wangpo,,,Aural,All lineages,Dudjom Rinpoche Jigdral Yeshe Dorjé,,,,,,,
Dudjom Rinpoche Jigdral Yeshe Dorjé,bdud 'joms 'jigs bral ye shes rdo rje,བདུད་འཇོམས་རིན་པོ་ཆེ་འཇིགས་བྲལ་ཡེ་ཤེས་རྡོ་རྗེ།,,1904-1987,1904,,"Great master, student of Jedrung Trinlé Jampa Jungné and Dza Pukhung Gyurmé Ngedön Wangpo",,,Aural,All lineages,Minling Trichen Kunzang Wangyal;Dudjom Yangsi a.k.a. Dudjom Sangye Pema Shepa,,Dudjom Yangsi a.k.a. Dudjom Sangye Pema Shepa,,,,,
Minling Trichen Kunzang Wangyal,smin gling khri chen kun bzang dbang rgyal,སྨིན་གླིང་ཁྲི་ཆེན་ཀུན་བཟང་དབང་རྒྱལ།,,1931-2008,1931,,Contemporary master,,,Aural,All lineages,,,,,,,,
Dudjom Yangsi a.k.a. Dudjom Sangye Pema Shepa,bdud 'joms yang srid a.k.a. bdud 'joms sangs rgyas padma bzhad pa,བདུད་འཇོམས་ཡང་སྲིད། བདུད་འཇོམས་སངས་རྒྱས་པདམ་བཞད་པ།,,1991-,1991,,Contemporary reincarnation,,,Aural,All lineages,,,,,,,,
Terchen Orgyen Chokgyur Lingpa,gter chen o rgyan mchog gyur gling pa,གཏེར་ཆེན་ཨོ་རྒྱན་མཆོག་གྱུར་བདེ་ཆེན་གླིང་པ།,,1829-1870,1850,,"Chokgyur Lingpa was born in Sangyal (Tib. gsang rgyal; Eng. Secret Victory), at the base of the sacred mountain Namkhadzö (Tib. nam mkha’ mdzod, Eng. Sky Treasury) in the province of Nangchen, on the tenth day of the sixth month of the earth ox year (August 9, 1829). It is said that Chokgyur Lingpa was the final reincarnation of Prince Murub Tsenpo, who was the second son of the Dharma king Trisong Detsen. Considered in his lineage as the last of the hundred major tertöns, Chokgyur Lingpa is regarded as the tertön meant for our times, with teachings particularly potent for our day and age. His terma revelations – the Chokling Tersar (New Treasures of Chokgyur Lingpa) – include the Tukdrup Barché Kunsel, the Zabtik Drolchok, the Lamrim Yeshe Nyingpo, the Seven Profound Cycles, and the Three Classes of the Great Perfection. ",,,Aural,All lineages; Chokling Tersar,,Tulku Urgyen Rinpoche,Neten Chokling,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Chokgyur-Lingpa/8181 ,
Tulku Urgyen Rinpoche,sprul sku o rgyan rin po che,སྤྲུལ་སྐུ་ཨོ་རྒྱནརིན་པོ་ཆེ།,,1920-1996,1920,,"Contemporary master, familial relationship with Terchen Orgyen Chokgyur Lingpa",,,Aural,All lineages,,Dilgo Khyentsé Yangsi,,TRUE,,,,
Neten Chokling,gnas brtan mchog gling,གནས་བརྟན་མཆོག་གླིང།,,1928-1973,1950,,,,,Aural,All lineages,,Orgyen Tobgyal Rinpoche;2nd Dzigar Kongtrul,,,,,,
Orgyen Tobgyal Rinpoche,o rgyan stobs rgyal rin po che,ཨོ་རྒྱན་སྟོབས་རྒྱལ་རིན་པོ་ཆེ།,,1951-,1951,Source: Rigpa wiki,Contemporary master,,,Aural,All lineages,,,,,,,,"Orgyen Tobgyal Rinpoche has familial relationship w ppl, probably not all. so you need to sus out whos fam and who isnt. we def need to modify the csv to accomodate fam vs normal teaching relationships."
2nd Dzigar Kongtrul,dzi sgar kong sprul 'jigs med rnam rgyal,འཛི་སྒར་ཀོང་སྤྲུལ་འཇིགས་མེད་རྣམ་རྒྱལ།,,1964-present,1964,,Contemporary master,,,Aural,All lineages,,,1st Dzigar Kongtrul Rinpoché,TRUE,,,,
5th Dzogchen Rinpoche Thupten Chökyi Dorjé,thub bstan chos kyi rdo rje,ཐུབ་བསྟན་ཆོས་ཀྱི་རྡོ་རྗེ།,,1872-1935,1900,,,,,Aural,All lineages,,,,,,,,
Adzom Drukpa Rinpoche Drodul Pawo Dorjé,a 'dzom 'brug pa rin po che 'gro 'dul dpa' bo rdo rje,ཨ་འཛོམ་འབྲུག་པ་རིན་པོ་ཆེ་འགྲོ་འདུལ་དཔའ་བོ་རྡོ་རྗེ།,,1842-1924,1842,,Student of Jamyang Khyentse Wangpo,,,Aural,All lineages,Jamyang Khyentse Chökyi Lodrö;Adzom Gyalse Gyurmé Dorjé;Golok Lama Kunzang;Serta Rinpoche;Yukhok Jadralwa Chöying Rangdrol;Tsö Patrul Rinpoche;Dilgo Khyentsé Rinpoche Rabsel Dawa,,Adzom Druktrul Tubten Pema Trinlé,,,,,
Jamyang Khyentsé Wangpo,jam dbyangs mkhyen brtse'i dbang po,འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོ།,,1820-1892,1820,,,,,Aural,All lineages,Mipam Jamyang Namgyal Gyatso;4th Zhechen Gyaltsap Gyurmé Pema Namgyal;Gyakob Tulku Kunzang;Dza Pukhung Gyurmé Ngedön Wangpo;Terchen Orgyen Chokgyur Lingpa;5th Dzogchen Rinpoche Thupten Chökyi Dorjé;Adzom Drukpa Rinpoche Drodul Pawo Dorjé;Jedrung Trinlé Jampa Jungné;3rd Katok Situ Kunchen Orgyen Chökyi Dorjé;Jamgön Kongtrul Yönten Gyatso Lodrö Tayé,,Jamyang Khyentse Chökyi Lodrö;Dilgo Khyentsé Rinpoche Rabsel Dawa,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Jamyang-Khyentse-Wangpo/4291,
Jamyang Khyentse Chökyi Lodrö,‘jam dbyangs mkhyen brtse chos kyi blo gros,འཇམ་དབྱངས་མཁྱེན་བརྩེ་ཆོས་ཀྱི་བློ་གྲོས།,,1893-1959,1893,,Great 20th century master,,,Aural,All lineages,Minling Trichen Kunzang Wangyal;Neten Chokling;Orgyen Tobgyal Rinpoche;2nd Dzigar Kongtrul;Khen Rinpoche Karma Dorjé;Sakya Khen Rinpoche Appey;Lakar Sogyal Choktrul Rinpoche;Katok Öntrul Rinpoche;Dilgo Khyentsé Rinpoche Rabsel Dawa,,,,,,,
Khen Rinpoche Karma Dorjé,mkhan rin po che kar ma rdo rje,མཁན་རིན་པོ་ཆེ་ཀར་མ་རྡོ་རྗེ།,,1850-1950 (approx),1850,,,,,Aural,All lineages,,,,,,,,
Sakya Khen Rinpoche Appey,mkhan po a pad yon tan bzang po,མཁན་པོ་ཨ་པད་ཡོན་ཏན་བཟང་པོ།,,1927-2010,1927,,,,,Aural,All lineages,,,,,,,,
Lakar Sogyal Choktrul Rinpoche,bsod rgyal rin po che,བསོད་རྒྱལ་རིན་པོ་ཆེ།,,1947-2019,1947,,,,,Aural,All lineages,,,,,,,,
Katok Öntrul Rinpoche,gzhi chen dbon sprul rin po che,གཞི་ཆེན་དབོན་སྤྲུལ་རིན་པོ་ཆེ།,,20th century,1950,,,,,Aural,All lineages,,,,,,,,
Adzom Gyalse Gyurmé Dorjé,a 'dzom rgyal sras 'gyur med rdo rje,ཨ་འཛོམ་རྒྱལ་སྲས་འགྱུར་མེད་རྡོ་རྗེ།,,1895-1969,1895,,,,,Aural,All lineages,Khen Rinpoche Karma Dorjé,,,,,,,
Adzom Druktrul Tubten Pema Trinlé,a ‘dzom brug sprul thub bstan pad+ma ‘phrin las,ཨ་འཛོམ་བྲུག་སྤྲུལ་ཐུབ་བསྟན་པདྨ་འཕྲིན་ལས།,,1926-2001,1926,,,,,Aural,All lineages,,,,,,,,
Golok Lama Kunzang,mgo log bla ma kun bzang,མགོ་ལོག་བླ་མ་ཀུན་བཟང།,,20th century,1950,,,,,Aural,All lineages,,,,,,,,
Serta Rinpoche,gser rta rin po che a.k.a. pad+ma lung rtogs rgya mtsho,གསེར་རྟ་རིན་པོ་ཆེ། པདྨ་ལུང་རྟོགས་རྒྱ་མཚོ།,,1891-1963 or 1964,1891,,,,,Aural,All lineages,,,,,,,,
Yukhok Jadralwa Chöying Rangdrol,g.yu khog bya bral ba chos dbyings rang grol,གཡུ་ཁོག་བྱ་བྲལ་བ་ཆོས་དབྱིངས་རང་གྲོལ།,,1872-1952,1920,,19th century master,,,Aural,All lineages,4th Dodrupchen Jikmé Trinlé Palbar;Rakor Khen Drimé Özer;Gyarong Tsöndrü,,,,,,,
4th Dodrupchen Jikmé Trinlé Palbar,jigs med phrin las dpal 'bar་a.k.a thub bstan phrin las dpal bzang po,འཇིགས་མེད་ཕྲིན་ལས་དཔལ་འབར། ཐུབ་བསྟན་ཕྲིན་ལས་དཔལ་བཟང་པོ།,,1927-2022,1950,,,,,Aural,All lineages,,,,,,,,
Rakor Khen Drimé Özer,ra skor dri med 'od zer,ར་སྐོར་དྲི་མེད་འོད་ཟེར།,,19th-20th centuries,1950,,,,,Aural,All lineages,,,,,,,,
Gyarong Tsöndrü,rgya rong brtson 'grus,རྒྱ་རོང་བརྩོན་འགྲུས།,,19th-20th centuries,1950,,,,,Aural,All lineages,,,,,,,,
Tsö Patrul Rinpoche,gtsos dpal sprul rin po che kun bzang gzhan phan 'od zer,གཙོས་དཔལ་སྤྲུལ་རིན་པོ་ཆེ་ཀུན་བཟང་གཞན་ཕན་འོད་ཟེར།,,20th century,1920,,,,,Aural,All lineages,,,,,,,,
Jedrung Trinlé Jampa Jungné,rje drung phrin las byams pa 'byung gnas,རྗེ་དྲུང་ཕྲིན་ལས་བྱམས་པ་འབྱུང་གནས།,,1825-1881,1825,,Student of Jamyang Khyentse Wangpo and Jamgön Kongtrul,,,Aural,All lineages,Dudjom Rinpoche Jigdral Yeshe Dorjé;Kangyur Rinpoche Longchen Yeshé Dorjé,,,,,,,
3rd Katok Situ Kunchen Orgyen Chökyi Dorjé,kaḥ thog si tu chos kyi rgya mtsho,ཀཿཐོག་སི་ཏུ་ཆོས་ཀྱི་རྒྱ་མཚོ།,,1880-1925,1880,,"Third Katok Situ, student of Jamyang Khyentse Wangpo, Mipham Rinpoche, and Jamgön Kongtrul",,,Aural,All lineages,,,,,,,,
Kangyur Rinpoche Longchen Yeshé Dorjé,bka' 'gyur rin po che klong chen ye shes rdo rje,བཀའ་འགྱུར་རིན་པོ་ཆེ་ཀློང་ཆེན་ཡེ་ཤེས་རྡོ་རྗེ།,,1898-1975,1898,,,,,Aural,All lineages,,,,,,,,
Dilgo Khyentsé Rinpoche Rabsel Dawa,dil mgo mkhyen brtse rin po che rab gsal zla ba,དིལ་མགོ་མཁྱེན་བརྩེ་རིན་པོ་ཆེ་རབ་གསལ་ཟླ་བ།,,1910-1991,1910,,"Great 20th century master, student of 4th Zhechen Gyaltsap",,,Aural,All lineages,2nd Dzigar Kongtrul;Jigme Khyentse Rinpoche;Sogyal Rinpoche,,Dilgo Khyentsé Yangsi,,,,,
Dilgo Khyentsé Yangsi,o rgyan bstan 'dzin 'jigs med lhun grub,ཨོ་རྒྱན་བསྟན་འཛིན་འཇིགས་མེད་ལྷུན་གྲུབ།,,1993-present,1995,,Contemporary reincarnation,,,Aural,All lineages,,,,TRUE,,,,Both of the ppl who taught dilgo khyentse yangsi are either fam or reincarnation.
Rigdzin Pema Lingpa,rig 'dzin pad+ma gling pa,,,1450-1521,1450,,Great treasure revealer,,,Aural,All lineages,,Dawa Gyaltsen,"2nd Pema Lingpa, Tendzin Chökyi Drakpa",,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Pema-Lingpa/3000,
"2nd Pema Lingpa, Tendzin Chökyi Drakpa",bstan 'dzin grags pa,བསྟན་འཛིན་གྲགས་པ།,,1536-1597,1536,,Incarnation of Rigdzin Pema Lingpa,,,Aural,All lineages,Khenpo Do-ngak Tendzin,,"3rd Pema Lingpa, Kunchen Tsultrim Dorjé",,,,,
"3rd Pema Lingpa, Kunchen Tsultrim Dorjé",kun mkhyen tshul khrims rdo rje,ཀུན་མཁྱེན་ཚུལ་ཁྲིམས་རྡོ་རྗེ།,,1598-1669,1598,,Incarnation of 2nd Pema Lingpa,,,Aural,All lineages,,,"4th Pema Lingpa, Dorjé Mikyö Tsal",,,,,
"4th Pema Lingpa, Dorjé Mikyö Tsal",rdo rje mi bskyod rtsal,རྡོ་རྗེ་མི་བསྐྱོད་རྩལ།,,1680-1723,1680,,Incarnation of 3rd Pema Lingpa,,,Aural,All lineages,,,"5th Pema Lingpa, Kunzang Tsewang",,,,,
"5th Pema Lingpa, Kunzang Tsewang",kun bzang tshe dbang,ཀུན་བཟང་ཚེ་དབང།,,1725-1762,1725,,Incarnation of 4th Pema Lingpa,,,Aural,All lineages,,,"6th Pema Lingpa, Kunzang Tenpai Gyaltsen",,,,,
"6th Pema Lingpa, Kunzang Tenpai Gyaltsen",kun bzang bstan pa'i rgyal mtshan,ཀུན་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,,1763-1817,1763,,Incarnation of 5th Pema Lingpa,,,Aural,All lineages,,,"7th Pema Lingpa, Pema Tendzin",,,,,
"7th Pema Lingpa, Pema Tendzin",pad+ma bstan 'dzin,པདྨ་བསྟན་འཛིན།,,1819-1842,1819,,Incarnation of 6th Pema Lingpa,,,Aural,All lineages,,,"8th Pema Lingpa, Kunzang Dechen Dorjé",,,,,
"8th Pema Lingpa, Kunzang Dechen Dorjé",kun bzang bde chen rdo rje,ཀུན་བཟང་བདེ་ཆེན་རྡོ་རྗེ།,,1843-1891,1843,,Incarnation of 7th Pema Lingpa,,,Aural,All lineages,,,"9th Pema Lingpa, Tendzin Chökyi Gyaltsen",,,,,
"9th Pema Lingpa, Tendzin Chökyi Gyaltsen",bstan 'dzin chos kyi rgyal mtshan,བསྟན་འཛིན་ཆོས་ཀྱི་རྒྱལ་མཚན།,,1894-1925,1894,,Incarnation of 8th Pema Lingpa,,,Aural,All lineages,,,"10th Pema Lingpa, Pema Ösel Gyurmé Dorjé",,,,,
"10th Pema Lingpa, Pema Ösel Gyurmé Dorjé",pad+ma 'od gsal 'gyur med rdo rje,པདྨ་འོད་གསལ་འགྱུར་མེད་རྡོ་རྗེ།,,1930-1955,1930,,Incarnation of 9th Pema Lingpa,,,Aural,All lineages,,,"11th Pema Lingpa, Kunzang Pema Rinchen Namgyal",,,,,
"11th Pema Lingpa, Kunzang Pema Rinchen Namgyal",kun bzang pad+ma rin chen rnam rgyal,ཀུན་བཟང་པདྨ་རིན་ཆེན་རྣམ་རྒྱལ།,,1968-,1968,,Current incarnation of 10th Pema Lingpa,,,Aural,All lineages,,,,,,,,
Dawa Gyaltsen,zla ba rgyal mtshan,ཟླ་བ་རྒྱལ་མཚན།,,1499-1587,1500,"Source: Treasury of Lives, Courtesy of Ariana Maki",15th-16th century family member,,,Aural,All lineages,,Rigdzin Pema Trinlé,Tuksé Incarnations,TRUE,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dawa-Gyeltsen/4372,
Tuksé Incarnations,thugs sras sprul sku,ཐུགས་སྲས་སྤྲུལ་སྐུ།,,1520-,1520,,Incarnation lineage of Dawa Gyaltsen,,,Aural,All lineages,,,,,,,,
Rigdzin Pema Trinlé,pad+ma 'phrin las,སྒང་སྟེང ༠༡ པདྨ་འཕྲིན་ལས།,,1564-1642,1575,"Source: Treasury of Lives, Courtesy of Ariana Maki",15th-16th century family member,,,Aural,All lineages,,,Gangteng Incarnations,TRUE,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Gyelse-Pema-Trinle/TBRC_P2659,
Gangteng Incarnations,sgang steng sprul sku,སྒང་སྟེང་སྤྲུལ་སྐུ།,,mid-17th century to present,1650,,Incarnation lineage of Rigdzin Pema Trinlé,,,Aural,All lineages,,,,,,,,
Getsé Jigmé Ngotsar Tendzin,dge rtse'i 'jigs med ngo mtshar bstan 'dzin,དགེ་རྩེའི་འཇིགས་མེད་ངོ་མཚར་བསྟན་འཛིན།,,18th-19th centuries,1760,,He was a direct student of Jigmé Lingpa (and one of the Four Jikmés) as well as a student of the Third Dzogchen Rinpoche. He taught luminaries such as Gyalsé Shenpen Tayé and Patrul Rinpoche. He founded Kilung Monastery in 1790. (Rigpa),,,Aural,All lineages,,,,,,,https://treasuryoflives.org/biographies/view/Jigme-Ngotsar/4622་,
Jigmé Kundrol Namgyal,jigs med kun grol,འཇིགས་མེད་ཀུན་གྲོལ་རྣམ་རྒྱལ།,,18th-19th centuries,1760,,"He was a direct student of Jigmé Lingpa and one of the Four Jigmés. He was born in Wangdar Lung, Bhutan. In his youth he trained in the Drukpa Kagyü lineage but, while serving as the manager for his monastery, he witnessed the killing of animals for meat and deep compassion arose within him. Thereupon he left his monastery and went to Tibet, where he received a complete monastic education at the renowned Mindroling Monastery. When he heard that the great master Jigmé Lingpa was residing at Samye, he decided to go there. He was accepted as a personal disciple by Jigmé Lingpa, from whom he received all the precious lineage transmissions. Practising under Jigmé Lingpa’s guidance, he obtained accomplishment and was recognized as one of the latter’s four supreme disciples. Following his master’s orders, he returned to Thawa Drak in Bumtang, Bhutan, where he established his residence. He then went on to Dungsam and built a monastery called Yongleg Gon. He was especially powerful in the practice of Vajrakilaya.",,,Aural,All lineages,,,,,,,,
Jigmé Gyalwai Nyugu,jigs med rgyal ba'i myu gu,འཇིགས་མེད་རྒྱལ་བའི་མྱུ་གུ།,,1765-1843,1765,Source: Rigpa wiki,Student of Jigme Lingpa,,,Aural,All lineages,Jamyang Khyentsé Wangpo;Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Jigme-Gyelwai-Nyugu/0,
Paltrul Orgyen Jigmé Chokyi Wangpo,dpal sprul o rgyan 'jigs med chos kyi dbang po,དཔལ་སྤྲུལ་ཨོ་རྒྱན་འཇིགས་མེད་ཆོས་ཀྱི་དབང་པོ།,,1808-1887,1808,,Great master Patrul Rinpoche,,,Aural,All lineages,"Jamyang Khyentsé Wangpo;Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo;Tendzin Drakpa;2nd Katok Situ, Chökyi Lodrö;Minyak Kunzang Sönam;Dzogchen Khenchen Pema Dorje;Golok Lang Lama Tupten Chokyi Jorpa;Khenchen Yönten Gyatso;Khenchen Kunzang Palden Chodrak;Orgyen Tendzin Norbu",,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Patrul-Orgyen-Jigme-Chokyi-Wangpo/4425,
Jigme Khyentse Rinpoche,jigs med mkhyen brtse rin po che,འཇིགས་མེད་མཁྱེན་བརྩེ་རིན་པོ་ཆེ།,,1963-,1964,Source: Khyentse Vision Project,Contemporary master,,,Aural,All lineages,,,,,,,,
Sogyal Rinpoche,bsod rgyal rin po che,བསོད་རྒྱལ་རིན་པོ་ཆེ།,,1947-2019,1947,,Contemporary master,,,Aural,All lineages,,,,,,,,
Khenchen Chabdal Lhundrup,mkhan chen khyab brdal lhun grub,མཁན་ཆེན་ཁྱབ་བརྡལ་ལྷུན་གྲུབ།,,1350-1420,1350,,,,,Aural,All lineages,Gyalse Tulku Drakpa Ozer,,,,,,,
Gyalse Tulku Drakpa Ozer,rgyal sras sprul sku grags pa 'od zer,རྒྱལ་སྲས་སྤྲུལ་སྐུ་གྲགས་པ་འོད་ཟེར།,,1356-1409,1375,,14th-15th century master,,,Aural,All lineages,Trulzhik Sang-gyé Önpo Sherab Gyatso,,,,,,,
Trulzhik Sang-gyé Önpo Sherab Gyatso,khrul zhig sangs rgyas dbon po shes rab rgya mtsho,འཁྲུལ་ཞིག་སངས་རྒྱས་དབོན་པོ་ཤེས་རབ་རྒྱ་མཚོ,,1410-1480,1410,,,,,Aural,All lineages,Gyalse Dawa Drakpa,,,,,,,
Gyalse Dawa Drakpa,rgyal sras zla ba grags pa,རྒྱལ་སྲས་ཟླ་བ་གྲགས་པ།,,1440-1510,1440,,,,,Aural,All lineages,Drupchen Kunzang Dorje,,,,,,,
Drupchen Kunzang Dorje,grub chen kun bzang rdo rje,གྲུབ་ཆེན་ཀུན་བཟང་རྡོ་རྗེ།,,1470-1540,1470,,,,,Aural,All lineages,Chöjé Kunga Gyaltsen Palzang,,,,,,,
